"ID","성별","연령","거주지역"
"Q92567484","F","29","광주 북구 용봉동"
"Q94298084","F","57","서울 용산구 보광동"
"Q08494226","F","35","제주 제주시 노형동"
"Q41971244","F","30","서울 광진구 자양4동"
"Q97264266","M","41","경기 성남시 분당구 수내동"
"Q07954451","F","30","서울 광진구 자양1동"
"Q65316111","F","41","서울 서초구 반포1동"
"Q78486867","F","60","서울 서초구 잠원동"
"Q66021630","M","30","서울 동작구 신대방동"
"Q76980630","F","40","인천 부평구 갈산2동"
"Q75874105","F","40","서울 동작구 상도2동"
"Q73308421","F","45","서울 서초구 잠원동"
"Q35778765","F","69","서울 동작구 신대방2동"
"Q77578863","F","28","경기 고양시 덕양구 지축동"
"Q52334871","F","44","서울 동작구 상도3동"
"Q81062975","F","33","경기 고양시 덕양구 고양동"
"Q87896702","M","31","경기 김포시 구래동"
"Q64543996","F","26","전북 군산시 옥구읍"
"Q76373604","F","44","서울 서초구 방배4동"
"Q64129610","F","22","부산 수영구 광안1동"
"Q80610368","F","47","서울 서초구 서초4동"
"Q70031266","F","52","서울 서초구 방배본동"
"Q78910281","F","59","경기 용인시 수지구 동천동"
"Q03958267","F","31","서울 동작구 사당4동"
"Q33532821","F","34","강원 원주시 단계동"
"Q99245983","F","25","부산 북구 화명3동"
"Q42058577","F","55","서울 관악구 신림10동"
"Q67712617","M","35","서울 관악구 봉천동"
"Q51977442","F","43","경기 수원시 권선구 권선동"
"Q78922552","F","48","경기 김포시 장기동"
"Q55476849","F","25","경기 고양시 덕양구 지축동"
"Q61714044","M","22","서울 서초구 서초1동"
"Q52999207","F","47","서울 서초구 잠원동"
"Q63540764","F","48","서울 강서구 화곡동"
"Q92747697","F","64","서울 성북구 정릉2동"
"Q58744871","M","53","서울 은평구 대조동"
"Q72458231","F","40","서울 은평구 불광3동"
"Q26190044","F","66","서울 은평구 불광3동"
"Q03879258","M","72","서울 은평구 불광2동"
"Q10141432","F","62","서울 은평구 갈현2동"
"Q21821828","F","37","서울 은평구 대조동"
"Q82080058","M","54","서울 중구 회현동1가"
"Q65172365","F","41","서울 은평구 역촌동"
"Q90351817","F","55","서울 은평구 불광3동"
"Q22213650","F","61","서울 서초구 서초동"
"Q14410424","F","67","서울 은평구 불광동"
"Q21394271","M","42","서울 은평구 갈현2동"
"Q08915444","M","30","서울 은평구 대조동"
"Q89773692","F","49","서울 성북구 동소문동5가"
"Q26427990","F","23","서울 은평구 대조동"
"Q65072607","F","67","서울 성북구 동소문동4가"
"Q16607999","M","43","서울 은평구 불광2동"
"Q64949310","F","57","서울 은평구 진관동"
"Q03690345","F","28","서울 은평구 불광2동"
"Q19495021","F","46","서울 은평구 갈현동"
"Q90674340","F","58","서울 은평구 불광2동"
"Q90529792","F","43","서울 은평구 진관동"
"Q12104016","F","47","서울 은평구 불광3동"
"Q86932221","F","64","서울 성북구 안암동2가"
"Q88089295","F","51","서울 은평구 갈현1동"
"Q70072751","F","54","서울 성북구 삼선동4가"
"Q65583915","F","28","서울 성북구 정릉2동"
"Q15915712","F","58","서울 서초구 서초4동"
"Q92460159","F","33","서울 은평구 불광2동"
"Q42947698","F","78","서울 은평구 불광2동"
"Q81565547","F","49","서울 강남구 논현1동"
"Q98135457","F","47","서울 성북구 정릉동"
"Q31622748","F","41","서울 은평구 불광2동"
"Q73633760","F","26",""
"Q50531028","F","36","서울 서초구 서초4동"
"Q81615017","F","65","서울 은평구 불광2동"
"Q50100055","F","45","서울 성북구 동소문동4가"
"Q88580096","F","41","서울 서초구 반포동"
"Q12007891","F","79","서울 성북구 돈암2동"
"Q58513717","F","41","서울 은평구 불광3동"
"Q74404488","M","24","서울 은평구 대조동"
"Q16204586","M","69","서울 은평구 불광2동"
"Q20512857","F","63","서울 성북구 동선동5가"
"Q51787907","F","35","서울 은평구 진관동"
"Q54182941","F","60","서울 은평구 불광동"
"Q21433964","F","23","서울 마포구 신수동"
"Q25913985","M","58","서울 성북구 정릉4동"
"Q97370804","F","26","서울 성북구 동선동4가"
"Q90866560","F","46","서울 강남구 대치동"
"Q93751768","F","56","서울 은평구 불광2동"
"Q07351743","F","46","서울 종로구 혜화동"
"Q53474177","M","32","서울 은평구 갈현동"
"Q23505155","M","28","서울 동대문구 제기동"
"Q16714434","M","67","서울 서초구 서초4동"
"Q67552333","F","57","서울 은평구 갈현동"
"Q96187647","F","63","서울 서초구 서초동"
"Q28017177","F","68","서울 은평구 갈현동"
